Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
Daniell Nicole Ryan,Daniell Nicole Ryan,,1,1,4,0.337349,0.379464,0,0,0,15,0.00062,8,0,0,0.027706
Jennifer J. Salinas,Jennifer J. Salinas,,1,1,4,0.337349,0.379464,0,0,0,15,0.00062,8,0,0,0.027706
Richard D. Tucker,Richard D. Tucker,,1,1,4,0.433333,0.466346,0,0,0,11,0.000725,15,0,0,0.039689
Locust Nc,Locust Nc,,1,1,4,0.433333,0.466346,0,0,0,11,0.000725,15,0,0,0.039689
Andrew J. Lister,Andrew J. Lister,,1,2,4,0.333333,0.378415,0,0,0,20,0.000718,11,0,0,0.02365
Steve Van Tuyl,Steve Van Tuyl,,1,2,4,0.333333,0.378415,0,0,0,20,0.000718,11,0,0,0.02365
Osbert Sun,Osbert Sun,,1,1,4,0.333333,0.378415,0,0,0,20,0.000718,11,0,0,0.02365
Virginia P. Sisiopiku,Virginia P. Sisiopiku,,1,1,4,0.401408,0.44152,0,0,0,3,0.000721,4,0,0,0.037291
Daniel J. Cuthbertson,Daniel J. Cuthbertson,,1,1,4,0.462185,0.483333,0,0,0,8,0.000754,12,0,0,0.046615
Iwona Adamska,Iwona Adamska,,1,2,4,0.462185,0.483333,0,0,0,8,0.000754,12,0,0,0.046615
William D. Ritts,William D. Ritts,,1,1,4,0.333333,0.378415,0,0,0,20,0.000718,11,0,0,0.02365
Stefan Jansson,Stefan Jansson,,1,1,4,0.462185,0.483333,0,0,0,8,0.000754,12,0,0,0.046615
Kirsten M. Carlson,Kirsten M. Carlson,,1,1,4,0.461988,0.481013,0,0.065337,0.065337,27,0.000657,7,0,0,0.107715
Thad E. Wilson,Thad E. Wilson,,1,4,5,0.306748,0.364,0,0,0,4,0.000601,5,0,0,0.062425
Yanling Guo,Yanling Guo,,1,1,4,0.364055,0.380802,0,0.032676,0.032676,27,0.000547,7,0,0,0.050021
Haiying Wang,Haiying Wang,,1,1,4,0.364055,0.380802,0,0.032676,0.032676,27,0.000547,7,0,0,0.050021
Michael L Barnett,Michael L Barnett,,2,2,1,1,1,1,0,0,28,0.002112,26,0,0,0.003199
John M Jermier,John M Jermier,,1,1,2,0.666667,0.75,0,0,0,28,0.001115,26,0,0,0.00199
Barbara A Lafferty,Barbara A Lafferty,,1,1,2,0.666667,0.75,0,0,0,28,0.001115,26,0,0,0.00199
Konstantin V. Klenin,Konstantin V. Klenin,,1,1,2,0.511628,0.522727,0,0,0,14,0.000788,16,0,0,0.01525
Maxim Frank-Kamenetskii,Maxim Frank-Kamenetskii,,1,1,2,0.511628,0.522727,0,0,0,14,0.000788,16,0,0,0.01525
Nicholas R. Cozzarelli,Nicholas R. Cozzarelli,,1,1,2,0.511628,0.522727,0,0,0,14,0.000788,16,0,0,0.01525
Chloe Bird,Chloe Bird,,1,1,5,0.394366,0.437202,0,0,0,15,0.000645,8,0,0,0.041039
Jose Escarce,Jose Escarce,,1,1,5,0.394366,0.437202,0,0,0,15,0.000645,8,0,0,0.041039
Peter Schramel,Peter Schramel,,1,1,4,0.462185,0.483333,0,0,0,8,0.000754,12,0,0,0.046615
Dar A. Roberts,Dar A. Roberts,,1,1,4,0.333333,0.378415,0,0,0,20,0.000718,11,0,0,0.02365
Andrew T. Hudak,Andrew T. Hudak,,1,2,4,0.333333,0.378415,0,0,0,20,0.000718,11,0,0,0.02365
Steve Acker,Steve Acker,,1,1,4,0.333333,0.378415,0,0,0,20,0.000718,11,0,0,0.02365
Jordan R. Mayor,Jordan R. Mayor,,1,1,4,0.382353,0.442308,0,0,0,5,0.000811,6,0,0,0.004842
K. Martin Ryberg,K. Martin Ryberg,,1,1,4,0.382353,0.442308,0,0,0,5,0.000811,6,0,0,0.004842
Christine Veronica Hawkes,Christine Veronica Hawkes,,1,1,3,0.5,0.517544,0,0,0,1,0.000703,2,0,0,0.013083
Tadashi Fukami,Tadashi Fukami,,1,1,3,0.5,0.517544,0,0,0,1,0.000703,2,0,0,0.013083
Benjamin M. Greenberg,Benjamin M. Greenberg,,1,2,5,0.306748,0.364,0,0,0,4,0.000601,5,0,0,0.062425
Amy Conger,Amy Conger,,1,1,5,0.306748,0.364,0,0,0,4,0.000601,5,0,0,0.062425
Darrel Conger,Darrel Conger,,1,1,5,0.306748,0.364,0,0,0,4,0.000601,5,0,0,0.062425
Shin Beh,Shin Beh,,1,1,5,0.306748,0.364,0,0,0,4,0.000601,5,0,0,0.062425
Gina Remington,Gina Remington,,1,1,5,0.306748,0.364,0,0,0,4,0.000601,5,0,0,0.062425
Rong Zhang,Rong Zhang,,5,6,5,0.322581,0.399833,1.361111,0,0,4,0.001779,5,0.7,7,0.165225
Warren B Cohen,Warren B Cohen,,1,1,2,0.6,0.666667,0,0,0,29,0.001004,23,0,0,0.002471
Mercedes Berterretche,Mercedes Berterretche,,1,1,2,0.6,0.666667,0,0,0,29,0.001004,23,0,0,0.002471
Sai Ma,Sai Ma,,1,1,5,0.394366,0.437202,0,0,0,15,0.000645,8,0,0,0.041039
Roberta Croce,Roberta Croce,,1,1,4,0.462185,0.483333,0,0,0,8,0.000754,12,0,0,0.046615
Roberto Bassi,Roberto Bassi,,1,1,4,0.462185,0.483333,0,0,0,8,0.000754,12,0,0,0.046615
Mukund V. Karwe,Mukund V. Karwe,,1,1,5,0.392157,0.459167,0,0,0,7,0.000684,10,0,0,0.011266
Victor J. Thannickal,Victor J. Thannickal,,1,1,3,0.482759,0.5,0,0,0,6,0.000738,9,0,0,0.018736
S.A. Acker,S.A. Acker,,1,1,4,0.333333,0.378415,0,0,0,20,0.000718,11,0,0,0.02365
Zhiyuan Zhan,Zhiyuan Zhan,,1,1,4,0.433333,0.466346,0,0,0,11,0.000725,15,0,0,0.039689
Christopher C. Jones,Christopher C. Jones,,1,2,4,0.433333,0.466346,0,0,0,11,0.000725,15,0,0,0.039689
Guoqing Zhou,Guoqing Zhou,,2,2,4,0.365741,0.387131,0,0.052386,0.052386,27,0.000873,7,1,1,0.080059
Bao-Liang Sun,Bao-Liang Sun,,3,3,3,0.49375,0.508439,0,0.117723,0.117723,27,0.001312,7,1,3,0.187774
M. Lefsky,M. Lefsky,,2,2,1,1,1,1,0,0,30,0.002112,27,0,0,0.003199
G. Sun,G. Sun,,1,1,2,0.666667,0.75,0,0,0,30,0.001115,27,0,0,0.00199
X. Yu,X. Yu,,1,1,2,0.666667,0.75,0,0,0,30,0.001115,27,0,0,0.00199
David Edward Bakken,David Edward Bakken,,1,1,5,0.307692,0.328205,0,0,0,11,0.000822,15,0,0,0.006491
Nancy K Franz,Nancy K Franz,,1,1,4,0.375,0.422222,0,0,0,10,0.000605,14,0,0,0.006192
Christopher Lain,Christopher Lain,,1,1,5,0.263889,0.283333,0,0,0,13,0.000819,4,0,0,0.004189
Jayakrishna R. Lekkala,Jayakrishna R. Lekkala,,1,2,4,0.371429,0.435897,0,0,0,31,0.000721,1,0,0,0.00518
Wei Kian Chen,Wei Kian Chen,,1,2,4,0.371429,0.435897,0,0,0,31,0.000721,1,0,0,0.00518
