Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
Anurag Srivastava,Anurag Srivastava,,1,1,4,0.433333,0.466346,0,0,0,11,0.000725,15,0,0,0.039689
Maik G. Seewald,Maik G. Seewald,,1,1,4,0.433333,0.466346,0,0,0,11,0.000725,15,0,0,0.039689
Irene Henriques,Irene Henriques,,2,3,5,0.355872,0.393167,1089,0,0,17,0.001283,5,0,0,0.039074
Bryan Husted,Bryan Husted,,1,2,5,0.288184,0.3065,0,0,0,17,0.000719,5,0,0,0.011815
Angus W. Thomson,Angus W. Thomson,,1,1,4,0.461988,0.481013,0,0.065337,0.065337,27,0.000657,7,0,0,0.107715
Fang Yu,Fang Yu,,1,1,4,0.461988,0.481013,0,0.065337,0.065337,27,0.000657,7,0,0,0.107715
Yuguo Xia,Yuguo Xia,,1,1,4,0.461988,0.481013,0,0.065337,0.065337,27,0.000657,7,0,0,0.107715
Oliver E. Jay,Oliver E. Jay,,1,1,5,0.306748,0.364,0,0,0,4,0.000601,5,0,0,0.062425
Robert E. Stratford,Robert E. Stratford,,1,1,4,0.461988,0.481013,0,0.065337,0.065337,27,0.000657,7,0,0,0.107715
Darius P. Zlotos,Darius P. Zlotos,,1,1,4,0.461988,0.481013,0,0.065337,0.065337,27,0.000657,7,0,0,0.107715
Paula A. Wittâ€êEnderby,Paula A. Wittâ€êEnderby,,1,1,4,0.461988,0.481013,0,0.065337,0.065337,27,0.000657,7,0,0,0.107715
Robert Salomon,Robert Salomon,,1,1,7,0.242131,0.303833,0,0,0,17,0.00078,5,0,0,0.027259
Edward J. Calabrese,Edward J. Calabrese,,1,1,4,0.461988,0.481013,0,0.065337,0.065337,27,0.000657,7,0,0,0.107715
Walter J. Kozumbo,Walter J. Kozumbo,,1,1,4,0.461988,0.481013,0,0.065337,0.065337,27,0.000657,7,0,0,0.107715
Jeffrey M. Gidday,Jeffrey M. Gidday,,1,1,4,0.461988,0.481013,0,0.065337,0.065337,27,0.000657,7,0,0,0.107715
Thomas E. Johnson,Thomas E. Johnson,,1,1,4,0.461988,0.481013,0,0.065337,0.065337,27,0.000657,7,0,0,0.107715
Hongfeng Mu,Hongfeng Mu,,1,1,4,0.461988,0.481013,0,0.065337,0.065337,27,0.000657,7,0,0,0.107715
Jingyan Zhao,Jingyan Zhao,,1,1,5,0.278169,0.298945,0,0.012965,0.012965,27,0.000561,7,0,0,0.020496
Tarun N Bhatia,Tarun N Bhatia,,1,1,5,0.278169,0.298945,0,0.012965,0.012965,27,0.000561,7,0,0,0.020496
Jim Vander Hooven,Jim Vander Hooven,,1,1,7,0.242131,0.303833,0,0,0,17,0.00078,5,0,0,0.027259
Tarun N. Bhatia,Tarun N. Bhatia,,1,1,4,0.461988,0.481013,0,0.065337,0.065337,27,0.000657,7,0,0,0.107715
Joseph W. Wagenbrenner,Joseph W. Wagenbrenner,,1,1,6,0.226766,0.265301,0,0,0,19,0.000811,11,0,0,0.006061
Pranavamoorthy Balasubramanian,Pranavamoorthy Balasubramanian,,1,1,5,0.270833,0.297756,0,0,0,24,0.000815,15,0,0,0.005636
Thoshitha Gamage,Thoshitha Gamage,,1,1,5,0.270833,0.297756,0,0,0,24,0.000815,15,0,0,0.005636
Santiago Grijalva,Santiago Grijalva,,1,1,5,0.270833,0.297756,0,0,0,24,0.000815,15,0,0,0.005636
Kory W. Hedman,Kory W. Hedman,,1,1,5,0.270833,0.297756,0,0,0,24,0.000815,15,0,0,0.005636
Kenneth Birman,Kenneth Birman,,1,1,5,0.270833,0.297756,0,0,0,24,0.000815,15,0,0,0.005636
Benjamin W. Wah,Benjamin W. Wah,,1,1,4,0.351351,0.416667,0,0,0,31,0.000753,1,0,0,0.004447
Ricardo A. Baeza Yates,Ricardo A. Baeza Yates,,1,1,4,0.351351,0.416667,0,0,0,31,0.000753,1,0,0,0.004447
Monique E. Rocca,Monique E. Rocca,,1,1,4,0.333333,0.378415,0,0,0,20,0.000718,11,0,0,0.02365
Xin Li,Xin Li,,1,1,4,0.401408,0.44152,0,0,0,3,0.000721,4,0,0,0.037291
Peter Muennig,Peter Muennig,,2,2,4,0.352201,0.403274,64.5,0,0,15,0.001139,8,0,0,0.031251
